  高須地区（平成15年）

住居表示対照表 （旧新）

（平成15年３月１日住居表示実施）




       旧表示           ページ

 たかす
 高須          ・ ・ ・    1
たかす
高須                実施日 平成１５年 ３月 １日

高須６９２番地９           高須三丁目２４番１８号


              12
たかす
高須                 実施日 平成１５年 ３月 １日

      旧 表 示             新 表 示
高須６９２番地１０          高須三丁目２４番１７号

高須６９２番地１１          高須三丁目２４番１５号

高須６９２番地１２          高須三丁目２４番５号

高須６９２番地１３          高須三丁目２４番７号

高須６９２番地１４          高須三丁目２４番８号

高須６９２番地１５          高須三丁目２４番９号

高須６９２番地１６          高須三丁目２４番１０号

高須６９２番地１７          高須三丁目２４番１１号

高須６９２番地１９          高須三丁目２４番６号

高須６９３番地３           高須三丁目３０番３号

高須６９３番地５           高須三丁目３１番１０号

高須６９３番地６           高須三丁目３１番１２号

高須６９３番地７           高須三丁目３１番１３号

高須６９３番地９           高須三丁目３０番６号

高須６９３番地１０          高須三丁目３０番９号

高須６９３番地１２          高須三丁目３０番８号

高須６９３番地１３          高須三丁目３０番７号

高須６９４番地１０          高須三丁目２９番１２号

高須６９５番地７           高須三丁目２５番２２号

高須６９５番地８           高須三丁目２５番３号

高須６９５番地９           高須三丁目２５番５号

高須６９５番地１０          高須三丁目２５番６号

高須６９５番地１１          高須三丁目２５番７号

高須６９５番地１２          高須三丁目２５番８号

高須６９５番地１３          高須三丁目２５番９号

高須６９５番地１４          高須三丁目２５番１０号

高須６９５番地１５          高須三丁目２５番１１号

高須６９５番地１６          高須三丁目２５番１５号

高須６９５番地１７          高須三丁目２５番１６号

高須６９５番地１８          高須三丁目２５番１７号

高須６９５番地１９          高須三丁目２５番１８号

高須６９５番地２０          高須三丁目２５番１９号

高須６９５番地２１          高須三丁目２５番２０号

高須６９５番地２２          高須三丁目２５番２１号

高須６９７番地９           高須三丁目２９番１３号

高須６９８番地            高須三丁目２９番５号

高須６９９番地６           高須三丁目２６番３号

高須６９９番地９           高須三丁目２６番９号

高須６９９番地１０          高須三丁目２６番７号


              13
たかす
高須                 実施日 平成１５年 ３月 １日

      旧 表 示             新 表 示
高須６９９番地１１          高須三丁目２６番１０号

高須７００番地４           高須三丁目２６番１１号

高須７００番地６           高須三丁目２６番１４号

高須７００番地９           高須三丁目２６番１８号

高須７００番地１１          高須三丁目２６番１５号

高須７００番地１５          高須三丁目２６番２１号

高須７００番地２０          高須三丁目２６番１９号

高須７００番地２３          高須三丁目２６番８号

高須７００番地２４          高須三丁目２６番５号

高須７００番地２８          高須三丁目２６番６号

高須７０１番地６           高須三丁目２７番１５号

高須７０１番地８           高須三丁目２６番２０号

高須７０１番地１０          高須三丁目２７番１２号

高須７０１番地１１          高須三丁目２７番１３号

高須７０１番地１３          高須三丁目２７番１９号

高須７０１番地１５          高須三丁目２６番２２号

