        仁井田地区

住居表示対照表 （旧新）

（平成８年２月１日住居表示実施）




       旧表示           ページ

 にいだ
 仁井田         ・ ・ ・    1
にいだ
仁井田               実施日 平成８年２月１日

仁井田２４９０番地４         十津三丁目１３番１０号

仁井田２４９０番地５         十津三丁目１３番１１号

仁井田２４９０番地８         十津三丁目１３番２４号

仁井田２４９０番地９         十津三丁目１３番２５号

仁井田２４９０番地１１        十津三丁目１３番２１号

仁井田２４９０番地１２        十津三丁目１３番８号

仁井田２４９０番地１３        十津三丁目１３番２０号

仁井田２４９０番地１４        十津三丁目１３番１９号

仁井田２４９０番地１５        十津三丁目１３番１８号

仁井田２４９０番地１６        十津三丁目１３番１７号

仁井田２４９０番地１７        十津三丁目１３番１６号

仁井田２４９０番地１８        十津三丁目１３番１５号

仁井田２４９０番地２０        十津三丁目１３番７－１号

仁井田２４９０番地２１        十津三丁目１３番６号

仁井田２４９０番地２４        十津三丁目１３番７－２号

仁井田２４９０番地２４        十津三丁目１３番２３号

仁井田２４９０番地２５        十津三丁目１３番２２号

仁井田２４９０番地２９        十津三丁目１３番１２－５号

仁井田２４９０番地３１        十津三丁目１３番１２－１号

仁井田２４９０番地３２        十津三丁目１３番１２－２号

仁井田２４９０番地３３        十津三丁目１３番１２－３号

仁井田２４９０番地３４        十津三丁目１３番１２－４号

仁井田２４９０番地３５        十津三丁目１３番１４号

仁井田２５０１番地          十津一丁目５番２２－１号


              10
にいだ
仁井田                実施日 平成８年２月１日

      旧 表 示             新 表 示
仁井田２５０１番地          十津一丁目５番２２－２号

仁井田２５０２番地１         十津一丁目５番１号

仁井田２５０２番地２         十津一丁目６番１５号

仁井田２５０２番地３         十津一丁目６番１４号

仁井田２５０２番地４         十津一丁目６番１３号

仁井田２５０２番地５         十津一丁目６番１２号

仁井田２５０２番地６         十津一丁目６番１１号

仁井田２５０２番地７         十津一丁目６番１０号

仁井田２５０２番地１０        十津一丁目５番７号

仁井田２５０２番地１１        十津一丁目５番６号

仁井田２５０２番地１２        十津一丁目５番５号

仁井田２５０２番地１３        十津一丁目５番４号

仁井田２５０２番地１４        十津一丁目５番３号

仁井田２５０２番地１５        十津一丁目５番２号

仁井田２５０８番地          十津一丁目１番８号

仁井田２５０８番地４         十津一丁目１番９号

仁井田２５０８番地５         十津一丁目１番８号

仁井田２５０８番地６         十津一丁目１番７号

仁井田２５０８番地７         十津一丁目１番２号

仁井田２５０８番地７         十津一丁目１番３号

仁井田２５０８番地８         十津一丁目１番１１号

仁井田２５０８番地９         十津一丁目１番１０号

仁井田２５０８番地１０        十津一丁目１番１２号

仁井田２５１１番地          十津一丁目１１番１号

仁井田２５１１番地          十津一丁目１５番１号

仁井田２５１１番地          十津一丁目１５番３号

仁井田２５１１番地          十津一丁目１５番５－１号

仁井田２５１１番地          十津一丁目１５番５－２号

仁井田２５１１番地          十津一丁目１５番５－３号

仁井田２５１１番地          十津一丁目１５番６号

仁井田２５１２番地４         十津一丁目１１番４号

仁井田２５１２番地８         十津一丁目１１番１８号

仁井田２５１２番地９         十津一丁目１１番１４号

仁井田２５１２番地１０        十津一丁目１１番１３号

仁井田２５１２番地１１        十津一丁目１１番１２号

仁井田２５１２番地１４        十津一丁目１１番１１号

仁井田２５１２番地１５        十津一丁目１１番８号

仁井田２５１２番地１７        十津一丁目１２番１５号

仁井田２５１２番地２４        十津一丁目１１番１７号


              11
にいだ
仁井田                実施日 平成８年２月１日

      旧 表 示             新 表 示
仁井田２５１２番地２６        十津一丁目１１番１６号

仁井田２５１２番地２８        十津一丁目１０番２８号

仁井田２５１２番地２９        十津一丁目１０番２５号

仁井田２５１２番地３１        十津一丁目１０番１９号

仁井田２５１２番地３２        十津一丁目１０番２１号

仁井田２５１２番地３３        十津一丁目１０番１６号

仁井田２５１２番地３４        十津一丁目１０番１４号

仁井田２５１２番地３６        十津一丁目１０番１０号

仁井田２５１２番地３７        十津一丁目１０番１２号

仁井田２５１２番地３８        十津一丁目１０番１３号

仁井田２５１２番地４１        十津一丁目１０番２４号

仁井田２５１２番地４２        十津一丁目１０番１１号

仁井田２５１２番地４３        十津一丁目１１番９号

仁井田２５１２番地４４        十津一丁目１１番１０号

仁井田２５１２番地４５        十津一丁目１０番１５号

仁井田２５１２番地４６        十津一丁目１０番２０号

仁井田２５１８番地１０        十津一丁目１３番１号

仁井田２５１９番地８         十津一丁目１０番２２号

仁井田２５１９番地１９        十津一丁目１０番２３号

仁井田２５２０番地１         十津一丁目９番１－１号

仁井田２５２０番地１         十津四丁目２１番２４号

仁井田２５２１番地          十津一丁目９番１－３号

仁井田２５２１番地          十津一丁目９番１－６号

仁井田２５３０番地５         十津四丁目２３番１８号

仁井田２５３０番地６         十津四丁目２２番３号

仁井田２５３０番地７         十津四丁目２１番２号

仁井田２５３０番地８         十津四丁目２０番９号

仁井田２５３０番地１３        十津四丁目２３番１７号

仁井田２５３０番地１４        十津四丁目２１番４号

仁井田２５３０番地１５        十津四丁目２０番１号

仁井田２５３０番地１６        十津四丁目２０番２号

仁井田２５３０番地１７        十津四丁目２０番４号

仁井田２５３０番地２０        十津四丁目２１番１号

仁井田２５３０番地２１        十津四丁目２２番５号

仁井田２５３０番地２２        十津四丁目２２番１号

仁井田２５３０番地２３        十津四丁目２１番３号

仁井田２５３０番地２４        十津四丁目１９番１号

仁井田２５３０番地２５        十津四丁目１９番１４号

仁井田２５３０番地２６        十津四丁目２３番１９号


              12
にいだ
仁井田                実施日 平成８年２月１日

      旧 表 示             新 表 示
仁井田２５３０番地２７        十津四丁目２０番１０号

仁井田２５３０番地２８        十津四丁目２２番２号

仁井田２５３０番地３４        十津四丁目２０番６号

仁井田２５３０番地３５        十津四丁目２０番８号

仁井田２５３０番地３６        十津四丁目２０番３号

仁井田２５３７番地          十津四丁目２３番１４号

仁井田２５３８番地２         十津四丁目１８番１４号

仁井田２５３８番地３         十津四丁目２３番３号

仁井田２５３８番地５         十津四丁目２３番１２号

仁井田２５３８番地９         十津四丁目２３番１１号

仁井田２５３８番地１５        十津四丁目２３番７号

仁井田２５３８番地１８        十津四丁目２３番１０号

仁井田２５３８番地１９        十津四丁目２３番９号

仁井田２５３８番地２０        十津四丁目１８番８号

仁井田２５３８番地２１        十津四丁目１８番９号

仁井田２５３８番地２２        十津四丁目１８番１０号

仁井田２５３８番地２３        十津四丁目１８番１１号

仁井田２５３８番地２４        十津四丁目１８番１２号

仁井田２５３８番地２５        十津四丁目１８番１３号

仁井田２５３８番地３６        十津四丁目２３番６号

仁井田２５４０番地６         十津四丁目１５番１６号

仁井田２５４０番地７         十津四丁目１５番１５号

仁井田２５４２番地８         十津四丁目２４番２５号

仁井田２５４８番地１         十津四丁目１２番２２号

仁井田２５４８番地６         十津四丁目２４番１－１号

仁井田２５４８番地６         十津四丁目２４番１－２号

仁井田２５４８番地６         十津四丁目２４番１－３号

仁井田２５４８番地７         十津四丁目２４番２６号

仁井田２５４８番地１２        十津四丁目２４番２０号

仁井田２５４８番地１６        十津四丁目２４番１５号

仁井田２５５２番地２         十津四丁目１５番１４号

仁井田２５５２番地３         十津四丁目１５番１３号

仁井田２５５２番地４         十津四丁目１５番１２号

仁井田２５５２番地５         十津四丁目１５番９号

仁井田２５５２番地６         十津四丁目１３番１３号

